date,week,bioassay,pot,plant,symptomatic_mean,assessment_SD,image_num,Leaf Score,LAD (%),Stem Score
2022-04-28,2022-W17,B001,48,2,30.346034144340987,13.849371309679098,2,7,30,5
2022-04-28,2022-W17,B001,48,3,23.19512658862283,4.580808294529291,2,7,30,5
2022-04-28,2022-W17,B001,48,4,16.23171065096604,5.229969489606141,3,5,20,5
2022-04-28,2022-W17,B001,5,1,51.91116097321459,1.5596111878626062,2,7,60,9
2022-04-28,2022-W17,B001,5,2,59.86959273717417,7.42820335292952,3,7,50,9
2022-04-28,2022-W17,B001,5,3,66.82346104090028,3.132411115638038,3,7,30,5
2022-04-28,2022-W17,B001,5,4,46.65295281574318,1.2120219969660715,2,7,30,5
2022-04-28,2022-W17,B001,5,5,74.59930866811385,2.718777216487939,2,7,30,7
2022-04-28,2022-W17,B001,6,1,49.03001807359803,3.5974909850926737,3,5,30,9
2022-04-28,2022-W17,B001,6,2,17.715164454319208,9.68347654363943,2,5,10,5
2022-04-28,2022-W17,B001,6,3,39.09582030140252,4.700216234623005,3,5,30,5
2022-04-28,2022-W17,B001,6,4,21.151640764353438,4.99725028052274,2,7,20,5
2022-04-28,2022-W17,B001,67,1,34.806618484364854,1.0091355206849852,2,7,30,7
2022-04-28,2022-W17,B001,67,2,31.990491202046336,4.202641988469645,3,7,30,7
2022-04-28,2022-W17,B001,67,3,21.413634931237905,4.049843917225742,3,5,20,7
2022-04-28,2022-W17,B001,67,4,18.630168751885343,11.951346664641743,3,7,30,3
2022-04-28,2022-W17,B001,67,5,28.690120285851364,7.646719736795124,3,5,30,5
2022-04-28,2022-W17,B001,68,1,30.06797473779441,2.715026306690514,2,5,40,5
2022-04-28,2022-W17,B001,68,2,40.307627963809495,7.201645338494148,3,7,40,7
2022-04-28,2022-W17,B001,68,3,55.02707713775499,14.60128456248366,2,7,50,7
2022-04-28,2022-W17,B001,68,4,23.12798403524166,6.638665594489631,3,7,50,5
2022-04-28,2022-W17,B001,68,5,61.67672117237609,2.441221117721257,2,7,70,9
2022-04-28,2022-W17,B001,69,1,32.01480243885333,1.698609050273913,2,5,30,5
2022-04-28,2022-W17,B001,69,2,34.00995754144528,13.335680196868562,2,7,40,5
2022-04-28,2022-W17,B001,69,3,11.342961684843406,3.1244682992097212,2,5,30,5
2022-04-28,2022-W17,B001,69,4,18.575818368109953,8.189364536082852,3,5,30,5
2022-04-28,2022-W17,B001,69,5,26.20089289675083,2.805361705311232,3,7,40,5
2022-04-28,2022-W17,B001,88,1,40.14144884749896,25.493442665936268,3,5,10,5
2022-04-28,2022-W17,B001,88,2,61.985254547279595,2.0296407123042637,2,5,20,7
2022-04-28,2022-W17,B001,88,3,49.712598125326906,27.066246973424903,3,7,30,5
2022-04-28,2022-W17,B001,88,4,44.145406779371896,17.341250748250626,2,7,30,7
2022-04-28,2022-W17,B001,88,5,35.84942993875741,6.359257810905332,2,7,30,5
2022-04-28,2022-W17,B001,89,1,27.813752359203683,18.06818538921838,2,5,30,5
2022-04-28,2022-W17,B001,89,2,52.632105105393755,12.582687996052329,3,5,50,7
2022-04-28,2022-W17,B001,89,3,48.94642167913427,23.72934237478671,2,5,40,7
2022-04-28,2022-W17,B001,90,1,49.980786661132214,5.735194552707836,2,5,50,5
2022-04-28,2022-W17,B001,90,2,44.62830187617169,2.3252840911787946,2,7,60,7
2022-04-28,2022-W17,B001,90,3,42.01447207143677,8.608160298089352,3,7,60,9
2022-04-28,2022-W17,B001,90,4,69.06768921381139,11.196979241855143,2,7,50,9
2022-04-28,2022-W17,B001,90,5,30.789964446222704,7.922890793073215,2,7,40,9
