date,week,bioassay,pot,plant,symptomatic_mean,assessment_SD,image_num,Leaf Score,LAD (%),Stem Score
29/4/2022,2022-W17,B001,100,1,46.11600639,12.14007384,2,3,10,3
29/4/2022,2022-W17,B001,100,2,49.49941596,2.61722364,2,5,50,5
29/4/2022,2022-W17,B001,100,3,59.64567276,1.747642376,2,7,60,7
29/4/2022,2022-W17,B001,101,1,61.2787805,1.204123848,2,7,60,9
29/4/2022,2022-W17,B001,101,2,63.90480707,2.193013144,4,5,70,9
29/4/2022,2022-W17,B001,102,1,50.57182216,19.53329436,2,7,50,5
29/4/2022,2022-W17,B001,102,2,33.60742693,5.223375079,2,7,40,5
29/4/2022,2022-W17,B001,102,3,47.30536623,14.30176206,2,7,40,7
29/4/2022,2022-W17,B001,102,4,59.05466224,25.41617904,2,5,30,5
29/4/2022,2022-W17,B001,102,5,49.01192557,4.388754342,2,5,10,3
29/4/2022,2022-W17,B001,118,1,26.63179897,1.856926408,2,7,50,7
29/4/2022,2022-W17,B001,118,2,41.00976575,2.0550417,2,7,60,9
29/4/2022,2022-W17,B001,118,3,36.61578475,4.272600699,2,7,60,7
29/4/2022,2022-W17,B001,118,4,38.84865998,11.69092732,3,7,60,7
29/4/2022,2022-W17,B001,118,5,39.55247827,3.525475861,2,7,50,9
29/4/2022,2022-W17,B001,119,1,43.26914759,11.43955929,2,7,60,5
29/4/2022,2022-W17,B001,119,2,40.13761911,1.180709919,2,7,60,5
29/4/2022,2022-W17,B001,119,3,20.6714417,4.525843993,2,7,50,5
29/4/2022,2022-W17,B001,119,4,28.30835537,2.700474624,2,9,60,5
29/4/2022,2022-W17,B001,120,1,18.47305087,4.327019169,3,7,30,5
29/4/2022,2022-W17,B001,120,2,24.58131071,1.818380875,2,5,20,5
29/4/2022,2022-W17,B001,120,3,26.6456636,0.045739946,2,5,30,7
29/4/2022,2022-W17,B001,120,4,20.40397256,4.268613161,3,5,20,5
29/4/2022,2022-W17,B001,120,5,25.47305657,0.548778941,2,7,30,5
29/4/2022,2022-W17,B001,121,1,23.18791731,5.631496541,3,5,20,3
29/4/2022,2022-W17,B001,121,2,28.51901971,9.164917576,2,5,30,5
29/4/2022,2022-W17,B001,121,3,19.59291868,4.069081787,2,5,30,5
29/4/2022,2022-W17,B001,121,4,28.56890492,6.130517082,3,7,50,5
29/4/2022,2022-W17,B001,121,5,17.07662076,5.762624005,2,7,50,5
29/4/2022,2022-W17,B001,122,1,29.61599008,1.158575427,2,5,20,3
29/4/2022,2022-W17,B001,122,2,27.50812287,7.489147361,3,7,30,3
29/4/2022,2022-W17,B001,122,3,22.17160407,6.376134035,2,7,30,5
